Observation,Open,High,Low,Close,Adj Close,Volume
414,6.87,7.045,6.85,6.91,1.58022099999999,986000
415,7,7.1,6.755,6.79,1.552778,471000
416,6.93,7.05,6.74,7.015,1.604233,1115000
417,7.075,7.2,6.95,7.12,1.628245,1499000
418,7.195,7.22,6.95,7.03,1.60766299999999,1017000
419,6.95,7.025,6.85,6.96,1.591656,541000
420,6.975,7.015,6.95,6.97,1.593942,487000
421,6.875,7,6.875,6.915,1.581364,640000
422,6.89,6.96,6.805,6.89,1.575647,473000
423,6.85,6.995,6.85,6.945,1.588225,1088000
424,6.885,6.945,6.885,6.915,1.581364,406000
425,6.65,6.93,6.65,6.82,1.559639,2277000
426,6.825,6.915,6.815,6.9,1.577934,799000
427,6.825,6.89,6.76,6.815,1.55849599999999,935000
428,6.8,6.825,6.75,6.785,1.551635,751000
429,6.85,6.93,6.775,6.785,1.551635,290000
430,6.75,6.8,6.74,6.75,1.543631,175000
431,6.75,6.825,6.705,6.8,1.555066,360000
432,6.8,7.34,6.8,7.26,1.660261,2502000
433,7.005,7.49,6.825,7.27,1.662548,2435000
434,7,7.065,6.89,7.015,1.604233,840000
435,7.02,7.3,6.96,7.215,1.64997,1295000
436,7.215,7.4,7.15,7.21,1.648827,1286000
437,7.25,7.3,7.065,7.13,1.63053199999999,848000
438,7.05,7.2,7.04,7.07,1.616811,1121000
439,7.12,7.235,7.11,7.19,1.644253,838000
440,7.3,7.795,7.215,7.73,1.76774399999999,5913000
441,7.8,7.88,7.525,7.705,1.762027,6951000
442,7.785,8.48,7.63,8.48,1.939258,9592000
443,8.51,8.825,8.275,8.56,1.95755299999999,7487000
444,8.7,8.74,8.31,8.375,1.915246,4225000
445,8.445,8.45,7.93,8.165,1.867222,5093000
446,8.025,8.375,7.915,8.2,1.87522599999999,3129000
447,8.1,8.2,8.06,8.1,1.852358,1284000
448,8.06,8.06,7.605,7.82,1.788325,3832000
449,7.79,8.5,7.79,8.29,1.895808,2322000
450,8.29,8.29,8.08,8.11,1.854644,1241000
451,8.17,8.17,7.95,8.025,1.835206,784000
452,8.03,8.1,7.84,7.975,1.823772,1064000
453,7.95,7.95,7.75,7.78,1.779178,1000000
454,7.7,7.795,7.65,7.775,1.778034,706000
455,7.95,7.95,7.675,7.73,1.76774399999999,482000
456,7.7,7.715,7.525,7.54,1.724293,827000
457,7.525,7.6,7.465,7.535,1.72315,881000
458,7.515,7.56,7.475,7.485,1.711716,706000
459,7.375,7.415,7.25,7.33,1.67626899999999,1861000
460,7.255,7.35,7.12,7.2,1.64654,1241000
461,7.21,7.225,7.125,7.19,1.644253,1001000
462,6.825,7.045,6.815,6.99,1.598516,1081000
463,6.71,7.05,6.71,7.025,1.60652,566000
464,7.01,7.15,6.95,7.1,1.623672,573000
465,7.075,7.075,6.96,6.985,1.597373,714000
466,7,7.395,6.95,7.315,1.672839,817000
467,7.25,7.25,7.115,7.18,1.641966,663000
468,7.14,7.29,7,7.24,1.655687,1011000
469,7.16,7.17,7.01,7.095,1.622528,542000
470,7.01,7.215,6.925,7.065,1.615667,1030000
471,7.03,7.075,6.95,6.99,1.598516,698000
